Timestamp,ID,Position,Speed,Load,Voltage,Temperature,Current
1778431168.479118,1,1463,-800,357,95,36,8
1778431168.4933558,1,1452,-750,359,95,36,10
1778431168.506933,1,1441,-750,361,95,36,10
1778431169.3145401,2,149,-800,351,95,30,9
1778431169.328967,2,137,-750,354,94,30,9
1778431169.3424037,2,127,-800,355,94,30,10
1778431170.1501548,2,94,700,371,92,30,11
1778431170.1544833,1,1412,750,364,92,36,9
1778431170.1673057,2,108,750,374,92,30,12
1778431170.1707478,1,1426,800,365,92,36,10
1778431170.1846302,2,121,800,374,92,30,11
1778431170.1887274,1,1440,850,364,92,36,8
1778431170.7054193,2,246,0,66,98,31,1
1778431170.7098079,1,1563,0,64,98,36,2
1778431170.7250414,2,247,0,66,98,30,1
1778431170.7289917,1,1563,0,64,98,36,2
1778431170.7431152,2,247,0,66,98,53,2
1778431170.7461412,1,1563,0,64,98,52,2
1778431170.7605855,2,247,0,66,98,30,1
1778431170.7638881,1,1563,0,64,98,36,1
1778431170.7779,2,247,0,66,98,31,2
1778431170.7808433,1,1563,0,64,97,36,1
1778431170.7952325,2,247,0,66,98,31,1
1778431170.7990308,1,1563,0,64,98,36,2
1778431170.8133676,2,247,0,66,98,30,1
1778431170.816242,1,1563,0,64,98,36,2
1778431170.8302124,2,247,0,66,98,30,2
1778431170.833275,1,1563,0,64,98,36,2
1778431170.8479125,2,247,0,66,98,30,2
1778431170.8512397,1,1563,0,64,98,36,2
1778431170.865441,2,247,0,66,98,30,1
1778431170.8682976,1,1563,0,64,98,36,1
1778431170.8826706,2,247,0,66,98,31,2
1778431170.8864028,1,1563,0,64,98,36,1
1778431170.9005418,2,247,0,66,98,30,2
1778431170.9034429,1,1563,0,64,98,36,1
1778431170.9180884,2,247,0,66,98,42,1
1778431170.9220736,1,1563,0,64,98,36,2
1778431170.9359972,2,247,0,66,98,31,2
1778431170.9393754,1,1563,0,64,98,36,2
1778431170.9543781,2,247,0,66,98,30,2
1778431170.9575732,1,1563,0,64,98,36,2
1778431170.9715304,2,247,0,66,98,30,2
1778431170.9743218,1,1563,0,64,98,36,2
1778431170.9889314,2,247,0,66,98,30,2
1778431170.9931788,1,1563,0,64,98,36,1
1778431171.0072517,2,247,0,66,98,52,2
1778431171.0105255,1,1563,0,64,98,36,2
1778431171.025154,2,247,0,66,98,31,2
1778431171.0283668,1,1563,0,64,98,36,2
1778431171.042351,2,247,0,66,98,30,2
1778431171.0452967,1,1563,0,64,98,36,2
1778431171.0600464,2,246,0,66,98,30,2
1778431171.0634348,1,1563,0,64,98,36,2
1778431171.0775309,2,247,0,66,98,30,2
1778431171.0802982,1,1563,0,64,98,36,1
1778431171.0947177,2,247,0,66,98,30,2
1778431171.0983858,1,1563,0,64,98,36,1
1778431171.112545,2,247,0,66,98,30,2
1778431171.1155334,1,1563,0,64,98,36,2
1778431171.1300843,2,247,0,66,98,30,2
1778431171.1337006,1,1563,0,64,98,36,1
1778431171.1478405,2,247,0,66,98,31,2
1778431171.1506913,1,1563,0,64,98,36,1
1778431171.1654162,2,247,0,66,98,30,1
1778431171.1697533,1,1563,0,64,98,37,1
1778431171.1841085,2,247,0,66,98,31,2
1778431171.1877427,1,1563,0,64,98,36,1
1778431171.2020276,2,247,0,66,98,30,1
1778431171.2051125,1,1563,0,64,98,36,1
1778431171.219227,2,247,0,66,98,30,2
1778431171.2222311,1,1563,0,64,98,36,2
1778431171.2369215,2,247,0,66,98,31,1
1778431171.2409594,1,1563,0,64,98,36,2
1778431171.2549205,2,247,0,66,98,30,1
1778431171.2579138,1,1563,0,64,98,36,2
1778431171.2725203,2,247,0,66,98,31,2
1778431171.276013,1,1563,0,64,98,36,2
1778431171.2901354,2,247,0,66,98,31,2
1778431171.2930546,1,1563,0,64,98,36,1
1778431171.3076017,2,247,0,66,98,31,2
1778431171.311029,1,1563,0,64,98,36,2
1778431171.3250701,2,247,0,66,98,30,2
1778431171.3279085,1,1563,0,64,98,36,1
1778431171.3424103,2,247,0,66,98,31,2
1778431171.346096,1,1563,0,64,98,36,2
