Timestamp,ID,Position,Speed,Load,Voltage,Temperature,Current
1778430550.0589046,1,1428,800,321,105,46,7
1778430550.0734444,1,1440,850,320,105,46,7
1778430550.087,1,1451,850,317,105,46,7
1778430550.8941267,2,537,650,336,105,38,11
1778430550.9076297,2,549,800,339,105,37,8
1778430550.9213033,2,559,800,339,105,37,9
1778430551.729107,2,577,-800,332,104,37,8
1778430551.733655,1,1461,-800,331,104,46,11
1778430551.7466495,2,561,-850,329,104,37,8
1778430551.7495325,1,1448,-750,334,104,45,9
1778430551.7630825,2,549,-750,329,104,37,9
1778430551.7674823,1,1434,-800,335,104,46,9
1778430552.2844481,2,433,0,59,106,37,2
1778430552.28908,1,1318,0,67,106,45,2
1778430552.3037717,2,433,0,59,105,37,2
1778430552.307711,1,1318,0,67,106,45,1
1778430552.3218253,2,433,0,59,106,37,1
1778430552.3247736,1,1318,0,67,106,45,2
1778430552.3394587,2,433,0,59,106,37,2
1778430552.3428357,1,1318,0,67,106,46,2
1778430552.3568568,2,433,0,59,106,37,1
1778430552.3597405,1,1318,0,67,106,46,2
1778430552.3741672,2,433,0,59,106,37,2
1778430552.3779423,1,1318,0,67,106,45,2
1778430552.3925056,2,433,0,59,106,37,2
1778430552.395604,1,1318,0,67,105,46,2
1778430552.4095201,2,433,0,59,106,37,1
1778430552.4123907,1,1318,0,67,106,45,2
1778430552.4271417,2,433,0,59,106,37,2
1778430552.4307835,1,1318,0,67,106,46,2
1778430552.4449883,2,433,0,59,106,38,2
1778430552.4478464,1,1318,0,67,106,45,2
1778430552.4621482,2,433,0,59,106,37,1
1778430552.4657378,1,1318,0,67,106,46,3
1778430552.4803362,2,433,0,59,106,37,2
1778430552.4834585,1,1318,0,67,106,46,1
1778430552.4973106,2,433,0,59,106,37,2
1778430552.50018,1,1318,0,67,106,46,2
1778430552.5145478,2,433,0,59,106,37,2
1778430552.5181482,1,1318,0,67,106,46,2
1778430552.532176,2,433,0,59,106,37,2
1778430552.5351093,1,1318,0,67,106,45,2
1778430552.5498412,2,433,0,59,106,37,1
1778430552.5536857,1,1318,0,67,106,46,2
1778430552.567603,2,433,0,59,106,37,2
1778430552.5709097,1,1318,0,67,106,45,2
1778430552.5855334,2,433,0,59,106,37,1
1778430552.588901,1,1318,0,67,106,45,2
1778430552.6028376,2,433,0,59,106,37,1
1778430552.6059487,1,1318,0,67,106,46,2
1778430552.6205661,2,433,0,59,106,37,1
1778430552.623882,1,1318,0,67,106,45,2
