Timestamp,ID,Position,Speed,Load,Voltage,Temperature,Current
1778518918.4858737,1,1339,700,406,77,32,11
1778518918.4999306,1,1350,700,412,78,32,10
1778518918.5133665,1,1361,700,418,78,32,10
1778518919.3200161,2,492,-650,394,78,28,10
1778518919.3341954,2,483,-700,401,79,28,9
1778518919.3483639,2,473,-700,407,79,28,11
1778518920.1564739,2,427,700,361,91,28,9
1778518920.160991,1,1406,-750,372,91,32,11
1778518920.174027,2,441,700,368,92,28,10
1778518920.1768754,1,1394,-800,373,92,32,11
1778518920.1905491,2,454,700,374,93,28,9
1778518920.1942818,1,1380,-750,375,92,32,9
1778518920.2081153,2,468,750,377,93,28,11
1778518920.2216341,2,478,800,376,93,29,8
