Timestamp,ID,Position,Speed,Load,Voltage,Temperature,Current
1778513866.242151,1,1219,50,45,107,36,0
1778513866.2555947,1,1224,200,79,107,35,0
1778513866.2693477,1,1230,350,103,105,35,0
1778513866.28318,1,1237,350,129,108,50,0
1778513866.2967067,1,1245,500,142,110,35,0
1778513866.3102567,1,1255,650,151,110,35,0
1778513866.323728,1,1264,700,158,112,35,0
1778513866.3371484,1,1275,700,164,113,35,0
1778513866.3506932,1,1285,750,166,112,35,0
1778513866.3641527,1,1296,800,168,114,35,0
1778513866.3776984,1,1305,800,168,114,35,0
1778513866.391269,1,1316,700,173,115,35,0
1778513866.4047236,1,1325,750,177,115,35,0
1778513866.4181712,1,1334,750,180,115,35,0
1778513866.431663,1,1343,650,189,115,35,0
1778513866.445022,1,1352,650,196,116,35,0
1778513866.4584336,1,1360,650,205,116,35,1
1778513866.4718902,1,1369,650,213,116,35,2
1778513866.4853797,1,1376,550,225,116,35,3
1778513866.4988723,1,1381,550,238,116,35,4
1778513866.5124252,1,1388,450,258,116,35,6
1778513866.5259044,1,1396,500,274,116,35,7
1778513866.539473,1,1406,500,291,116,35,6
1778513866.5530002,1,1415,700,294,115,35,7
1778513866.5664496,1,1426,800,296,116,35,4
1778513866.5799766,1,1437,800,296,116,35,6
1778513866.59348,1,1448,800,296,116,35,6
1778513866.6069639,1,1459,800,296,116,35,6
1778513866.62055,1,1470,800,296,116,35,6
1778513866.6341002,1,1481,800,296,116,35,6
1778513866.647733,1,1492,800,296,116,35,6
1778513866.6611922,1,1503,800,296,116,35,6
1778513866.6747153,1,1514,800,296,116,35,6
1778513866.6882064,1,1525,800,296,116,35,6
1778513866.701729,1,1537,800,294,116,35,7
1778513866.7152402,1,1547,850,292,116,35,5
1778513866.7287197,1,1559,850,289,116,35,5
1778513866.7423465,1,1569,800,288,116,35,6
1778513866.755941,1,1580,800,288,116,35,5
1778513866.7694368,1,1591,800,288,116,35,7
1778513866.782963,1,1602,800,288,116,35,5
1778513866.7964468,1,1613,800,288,116,36,6
1778513866.8100145,1,1623,800,288,116,35,6
1778513866.8233817,1,1635,800,288,116,35,5
1778513866.8371153,1,1645,800,288,116,35,5
1778513866.8509898,1,1656,800,288,116,35,6
1778513866.864588,1,1667,800,288,116,35,7
1778513866.878026,1,1678,800,288,116,35,5
1778513866.8914826,1,1689,800,288,116,35,6
1778513866.9049368,1,1700,750,290,116,35,5
1778513866.9183273,1,1710,750,292,116,35,6
